code;provinz
Ach;Achaia
Aeg;Aegyptus
Aem;Aemilia (Regio VIII)
Afr;Africa Proconsularis
AlC;Alpes Cottiae
AlG;Alpes Graiae
AlM;Alpes Maritimae
AlP;Alpes Poeninae
ApC;Apulia et Calabria (Regio II)
Aqu;Aquitania
Ara;Arabia
Arm;Armenia
Asi;Asia
Ass;Assyria
Bae;Baetica
Bar;Barbaricum
Bel;Belgica
BiP;Bithynia et Pontus
BrL;Bruttium et Lucania (Regio III)
Bri;Britannia
Cap;Cappadocia
Cil;Cilicia
Cor;Corsica
Cre;Creta
Cyp;Cyprus
Cyr;Cyrene
Dac;Dacia
Dal;Dalmatia
Epi;Epirus
Etr;Etruria (Regio VII)
Gal;Galatia
GeI;Germania inferior
GeS;Germania superior
HiC;Hispania citerior
Inc;Provincia incerta
Iud;Iudaea
LaC;Latium et Campania (Regio I)
Lig;Liguria (Regio IX)
Lug;Lugdunensis
Lus;Lusitania
LyP;Lycia et Pamphylia
MaC;Mauretania Caesariensis
MaT;Mauretania Tingitana
Mak;Macedonia
Mes;Mesopotamia
MoI;Moesia inferior
MoS;Moesia superior
Nar;Narbonensis
Nor;Noricum
Num;Numidia
PaI;Pannonia inferior
PaS;Pannonia superior
Pic;Picenum (Regio V)
Rae;Raetia
ReB;Regnum Bospori
Rom;Roma
Sam;Samnium (Regio IV)
Sar;Sardinia
Sic;Sicilia; Melita
Syr;Syria
Thr;Thracia
Tra;Transpadana (Regio XI)
Tri;Tripolitania
Umb;Umbria (Regio VI)
Val;Valeria
VeH;Venetia et Histria (Regio X)
